Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,500,100,73,141,"16,27","0,000%","453,30916","82,34","64,63","186,0"
/user_info_2,500,28823,841,119217,"27138,07","79,000%","4,18459","8,85","0,21","2165,3"
/user_info_3,500,39399,2397,147996,"37863,14","100,000%","2,95944","7,62","0,00","2635,5"
/object_info_1,500,18901,2198,120863,"18378,51","100,000%","3,21817","8,22","0,00","2614,6"
/object_info_2,500,16804,2202,93247,"16679,45","100,000%","3,48158","8,86","0,00","2606,6"
/object_info_3,500,13326,2202,64375,"9507,18","100,000%","4,00718","10,20","0,00","2605,8"
/object_info_4,500,10529,2196,21076,"7960,79","100,000%","5,05403","12,85","0,00","2603,9"
TOTAL,3500,18269,73,147996,"23648,25","82,714%","19,20397","41,31","0,53","2202,5"
